,Store,Cuisine Type,Rating,Delivery Time
32,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Cassava Roots""> Cassava Roots </h2>"," Desayunos ,  Jugos y Batidos ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.3 </span>", 100 min 
33,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Izakaya Sushi""> Izakaya Sushi </h2>"," Sushi ,  Asiática ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.4 </span>", 100 min 
34,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Daikoku""> Daikoku </h2>", Sushi ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.2 </span>", 100 min 
35,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Panda Express""> Panda Express </h2>", China ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.4 </span>", 100 min 
36,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""El Moustrón""> El Moustrón </h2>"," Tacos ,  Mexicana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.6 </span>", 100 min 
37,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Papa John's Pizza""> Papa John's Pizza </h2>", Pizza ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.6 </span>", 100 min 
38,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Sushi Itto""> Sushi Itto </h2>"," Sushi ,  Italiana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.3 </span>", 100 min 
39,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""El Japonez""> El Japonez </h2>"," Sushi ,  Saludables ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.2 </span>", 100 min 
40,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""El Rey de las ahogadas""> El Rey de las ahogadas </h2>", Mexicana ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.6 </span>", 100 min 
41,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""El Faraón""> El Faraón </h2>"," Tacos ,  Mexicana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.4 </span>", 100 min 
42,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Pizza Hut ""> Pizza Hut  </h2>", Pizza ,"<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.5 </span>", 100 min 
43,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Burger King""> Burger King </h2>"," Hamburguesas ,  Comida Rápida ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.6 </span>", 100 min 
44,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Balboa Pizzería""> Balboa Pizzería </h2>"," Pizza ,  Italiana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.1 </span>", 100 min 
45,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Tacos Manolo""> Tacos Manolo </h2>"," Tacos ,  Mexicana ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.7 </span>", 100 min 
46,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Básico""> Básico </h2>"," Saludables ,  Desayunos ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.5 </span>", 100 min 
47,"<h2 _ngcontent-ng-rappi-c124="""" class=""store-name"" title=""Moshi Moshi""> Moshi Moshi </h2>"," Sushi ,  Asiática ","<span _ngcontent-ng-rappi-c124="""" class=""score ng-star-inserted""> 4.4 </span>", 100 min 
